x,y,z,int,phase,size
  -9.12500024E-02 ,  -20.0000000     ,   19.9087505     ,   19.0000000     ,   48.0821915     ,           1
  -9.12500024E-02 ,  -20.0000000     ,   20.0912495     ,   20.0000000     ,   228.082199     ,           1
